IPA,6.2,46,IPA - American,"This is our unique version of an ancient style A style as old as the ocean trade routes of the last centuries Great Ships Not as old as the equator they had to cross twice enroute rnrnLagunitas IPA was our first seasonal way back in 1995 The recipe was formulated with malt and hops working together to balance it all out on your ‘buds so you can knock back more than one without wearing yourself out Big on the aroma with a hoppy-sweet finish that’ll leave you wantin’ another sip",https://untappd.akamaized.net/site/beer_logos/beer-4509_1ce65_sm.jpeg,Lagunitas Brewing Company,Macro Brewery,Petaluma,CA,38.2724,-122.662,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,http://www.LAGUNITAS.com/
All Day IPA,4.7,42,IPA - Session / India Session Ale,"Satisfies your tastes while keeping your senses sharp Brewed with a complex array of ingredients Balanced for optimal aromatics and a clean finish ",https://untappd.akamaized.net/site/beer_logos/beer-36834_82ca8_sm.jpeg,Founders Brewing Co.,Regional Brewery,Grand Rapids,MI,42.9585,-85.6735,https://untappd.akamaized.net/site/brewery_logos/brewery-549_53a84.jpeg,http://www.foundersbrewing.com/
Goose IPA,5.9,55,IPA - English,"Our India Pale Ale recalls a time when ales shipped from England to India were highly hopped to preserve their distinct taste during the long journey The result is a hop lover’s dream with a fruity aroma set off by a dry malt middle and long hop finish",https://untappd.akamaized.net/site/beer_logos/beer-1353_b23f2_sm.jpeg,Goose Island Beer Co.,Macro Brewery,Chicago,IL,41.8871,-87.6721,https://untappd.akamaized.net/site/brewery_logos/brewery-2898_7ee53.jpeg,http://www.gooseisland.com/
Sculpin,7,70,IPA - American,"The Sculpin IPA is a testament to our humble beginnings as Home Brew Mart Founded in 1992 the Mart continues to be a catalyst for the San Diego brewing scene setting the trend for handcrafted ales Inspired by our customers employees and brewers the Sculpin IPA is bright with aromas of apricot peach mango and lemon Its lighter body also brings out the crispness of the hops This delicious Ballast Point Ale took a Bronze Medal at the 2007 Great American Beer Festival in the Pro Am category The Sculpin fish has poisonous spikes on its fins that can give a strong sting Ironically the meat from a Sculpin is considered some of the most tasty Something that has a sting but tastes great sounds like a Ballast Point India Pale Ale",https://untappd.akamaized.net/site/beer_logos/beer-_5558_sm_568370b6ade3c2ed1ffd9a311fa92f.jpeg,Ballast Point Brewing Company,Macro Brewery,San Diego,CA,32.8882,-117.158,https://untappd.akamaized.net/site/brewery_logos/brewery-68_bcee7.jpeg,http://www.ballastpoint.com/
Two Hearted Ale,7,0,IPA - American,"Brewed with 100 Centennial hops from the Pacific Northwest and named after the Two Hearted River in Michigan’s Upper Peninsula this IPA is bursting with hop aromas ranging from pine to grapefruit from massive hop additions in both the kettle and the fermenterrnrnPerfectly balanced with a malt backbone and combined with the signature fruity aromas of Bells house yeast this beer is remarkably drinkable and well suited for adventures everywhere",https://untappd.akamaized.net/site/beer_logos/beer-4133_13fdb_sm.jpeg,Bell's Brewery,Regional Brewery,Comstock,MI,42.2843,-85.4538,https://untappd.akamaized.net/site/brewery_logos/brewery-2507_ad044.jpeg,http://www.bellsbeer.com/
Stone IPA,6.9,71,IPA - American,"By definition an India Pale Ale is hoppier and higher in alcohol than its little brother pale ale — and we deliver in spades Now one of the most well respected and best-selling IPAs in the country this golden beauty explodes with citrusy flavor and hop aromas all perfectly balanced by a subtle malt characternnThis crisp extra hoppy brew is hugely refreshing on a hot day but will always deliver no matter when you choose to drink itnnHops Magnum Chinook  Centennial",https://untappd.akamaized.net/site/beer_logos/beer-821_1109a_sm.jpeg,Stone Brewing,Regional Brewery,Escondido,CA,33.1157,-117.12,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,http://www.stonebrewing.com/
Grapefruit Sculpin,7,70,IPA - American,"Our Grapefruit Sculpin is the latest take on our signature IPA Some may say there are few ways to improve Sculpin’s unique flavor but the tart freshness of grapefruit perfectly complements our IPA’s citrusy hop character Grapefruit’s a winter fruit but this easy-drinking ale tastes like summer",https://untappd.akamaized.net/site/beer_logos/beer-285658_5908f_sm.jpeg,Ballast Point Brewing Company,Macro Brewery,San Diego,CA,32.8882,-117.158,https://untappd.akamaized.net/site/brewery_logos/brewery-68_bcee7.jpeg,http://www.ballastpoint.com/
Torpedo Extra IPA,7.2,65,IPA - American,"Sierra Nevada Torpedo Ale is a big American IPA; bold assertive and full of flavor and aromas highlighting the complex citrus pine and herbal character of whole-cone American hops Our obsession with harnessing huge hop flavor led to the development of what we call the hop torpedo a revolutionary method of dry-hopping designed built and debuted here at the brewery Our torpedo is a sleek stainless-steel piece of hardware that delivers more pure hop aroma than any method of dry-hopping we’ve ever seen",https://untappd.akamaized.net/site/beer_logos/beer-4997_fe560_sm.jpeg,Sierra Nevada Brewing Co.,Regional Brewery,Chico,CA,39.7242,-121.815,https://untappd.akamaized.net/site/brewery_logos/brewery-1142_ddcfe.jpeg,http://www.sierranevada.com/
Fresh Squeezed IPA,6.4,60,IPA - American,"Bond Street Series- this mouthwatering lay delicious IPA gets its flavor from a heavy helping of citra and mosaic hops Dont worry no fruit was harmed in the making of this beer ",https://untappd.akamaized.net/site/beer_logos/beer-59622_cc76d_sm.jpeg,Deschutes Brewery,Regional Brewery,Bend,OR,44.0468,-121.322,https://untappd.akamaized.net/site/brewery_logos/brewery-441_8b2ad.jpeg,http://www.deschutesbrewery.com
Jai Alai,7.5,70,IPA - American,"Jai Alai a game native to the Basque region of Spain is played on a court called a fronton Jai Alai players attempt to catch a ball using a curved mitt whilst the ball travels at speeds up to 188mph! Proving they have a sense of humor the Spanish dubbed this game with its ball traveling at race car speeds “the merry game” Tampa was once home to a bustling Jai Alai fronton but sadly all that remains of Jai Alai in the Tampa Bay area is this India Pale Ale that we brew in tribute to the merry game The India Pale Ale style of beer has its roots in the ales sent from England to thirsty British troops in India during the 18th century Pair Jai Alai India Pale Ale with beef empanadas deviled crabs and other spicy dishes",https://untappd.akamaized.net/site/beer_logos/beer-5724_8eaee_sm.jpeg,Cigar City Brewing,Regional Brewery,Tampa,FL,27.959,-82.5092,https://untappd.akamaized.net/site/brewery_logos/brewery-379_2ce01.jpeg,http://cigarcitybrewing.com/
